"id","name","executed_at"
1,"002_create_admin_users.sql","2026-04-17 11:06:02"
2,"005_create_project_documents.sql","2026-04-17 11:34:05"
3,"006_create_approval_memos.sql","2026-04-17 11:34:05"
4,"010_link_approval_memos_to_projects.sql","2026-04-17 11:34:06"
5,"012_add_distribution_fields.sql","2026-04-17 11:34:06"
6,"016_backfill_progress_step_ids.sql","2026-04-17 11:34:06"
7,"017_backfill_approval_memo_ids.sql","2026-04-17 11:34:06"
8,"019_backfill_approval_memo_documents_to_projects.sql","2026-04-17 11:34:06"
9,"003_create_projects.sql","2026-04-17 11:34:11"
