"id","implementation_method","step_order","bengali_description","base_percentage","is_dynamic_calculation","dynamic_min_percentage","dynamic_max_percentage","created_at"
1,"cppc",1,"সভাপতি বরাবর পত্র প্রেরণ সমাপ্ত",10,0,NULL,NULL,"2026-04-07 13:12:14"
2,"cppc",2,"চুক্তিপত্র ও প্রাক্কলন প্রস্তুতকৃত",20,0,NULL,NULL,"2026-04-07 13:12:14"
3,"cppc",3,"১ম কিস্তি বিতরণ সম্পন্ন",50,0,NULL,NULL,"2026-04-07 13:12:14"
4,"cppc",4,"ইউএনও এর প্রতিবেদন পাওয়া গেছে",80,0,NULL,NULL,"2026-04-07 13:12:14"
5,"cppc",5,"চূড়ান্ত বিল প্রদান সমাপ্ত",100,0,NULL,NULL,"2026-04-07 13:12:14"
6,"tender",1,"টেন্ডার ফ্লোটিং সম্পন্ন",10,0,NULL,NULL,"2026-04-07 13:12:14"
7,"tender",2,"টেন্ডার মূল্যায়ন সম্পন্ন",20,0,NULL,NULL,"2026-04-07 13:12:14"
8,"tender",3,"ঠিকাদার নির্বাচিত ও কার্যাদেশ প্রদান সম্পন্ন",30,0,NULL,NULL,"2026-04-07 13:12:14"
9,"tender",4,"কাজ চলমান",30,1,30,90,"2026-04-07 13:12:14"
10,"tender",6,"কাজ সম্পন্ন",90,0,NULL,NULL,"2026-04-07 13:12:14"
11,"tender",7,"চূড়ান্ত বিল প্রদান সমাপ্ত",100,0,NULL,NULL,"2026-04-07 13:12:14"
12,"rfq",1,"টেন্ডার ফ্লোটিং সম্পন্ন",10,0,NULL,NULL,"2026-04-07 13:12:14"
13,"rfq",2,"টেন্ডার মূল্যায়ন সম্পন্ন",20,0,NULL,NULL,"2026-04-07 13:12:14"
14,"rfq",3,"ঠিকাদার নির্বাচিত ও কার্যাদেশ প্রদান সম্পন্ন",30,0,NULL,NULL,"2026-04-07 13:12:14"
15,"rfq",4,"কাজ চলমান",30,1,30,90,"2026-04-07 13:12:14"
16,"rfq",5,"কাজ সম্পন্ন",90,0,NULL,NULL,"2026-04-07 13:12:14"
17,"rfq",6,"চূড়ান্ত বিল প্রদান সমাপ্ত",100,0,NULL,NULL,"2026-04-07 13:12:14"
19,"tender",5,"রানিং বিল প্রদান",30,1,NULL,NULL,"2026-04-08 03:03:48"
